tid,toi,tfopwg_disp,st_tmag,pl_orbper,pl_trandep,pl_tranmid,pl_trandurh
253990973,1061.01,FP,9.7345,0.540933,257.347459,2458654.253249,1.674337
299799658,1062.01,CP,9.478,4.1150576,487.0,2460177.200429,1.08
50365310,1000.01,FP,9.604,2.1713484,656.8860989,2459229.630046,2.0172196
88863718,1001.01,PC,9.42344,1.9316462,1286.0,2459987.948873,3.166
124709665,1002.01,FP,9.299501,1.8675574,1500.0,2459224.687802,1.408
106997505,1003.01,FP,9.3003,2.74323,383.41,2458493.3957,3.167
238597883,1004.01,FP,9.1355,3.5730141,755.0,2459987.047262,3.37
169904935,1005.01,FP,9.1309,4.5505945,3731.0,2459985.156855,2.654
156115721,1006.01,FP,9.2386,2.5047918,2270.5402194,2459229.984579,4.3797563
65212867,1007.01,PC,8.87759,6.9989206,2840.0,2459247.930695,3.953
440801822,1008.01,FP,8.9362,2.0483755,483.0,2460258.236122,2.767
107782586,1009.01,PC,8.4331,1.9600277,1707.6272693,2459229.230924,2.0065257
231663901,101.01,KP,12.4069,1.4303699,18960.7122944,2458326.009117,1.6165994
139853601,1010.01,FP,8.45086,0.6808702,1507.8006889,2459228.878101,2.4634563
114018671,1011.01,PC,8.2388,2.4705036,273.0272045,2460715.898893,2.3513472
427508467,1012.01,APC,8.12718,0.884182,1890.0,2459252.509595,1.621
97700520,1013.01,FP,7.6095,5.4255548,14939.6342222,2459232.248322,3.9637474
96246348,1014.01,FP,7.678,1.4095184,2841.5103258,2459985.657041,0.9484999
155044736,1015.01,FP,10.7069,1.3730466,1301.5065338,2459963.610065,2.5708515
175310067,1016.01,FP,10.6257,12.6889415,3232.8527885,2459238.831138,7.9201001
295599256,1108.01,FP,9.941,7.14386,11146.4,2458655.54872,1.467
50309953,1109.01,FP,9.7906,7.04083,1580.0,2459083.35168,2.979
355703913,111.01,KP,13.183,2.1061569,12142.2238514,2458326.105486,1.4688934
446549905,1110.01,FP,9.6789,2.4545635,4248.0,2460146.990136,2.321
412014494,1111.01,FP,9.3871,11.4756978,8341.0,2460131.889805,0.808
369864738,1112.01,FP,9.5162,2.78186,490.0,2458626.54168,2.456
290348382,1113.01,FP,9.66865,6.4410082,7076.0,2460140.221205,1.798
409934330,1114.01,APC,8.1129,2.4887726,4852.0,2460148.616195,2.632
379286801,1115.01,APC,10.526,4.45199,8483.38,2458658.32747,2.109
304100538,1116.01,PC,9.5268,5.0100708,409.4812214,2458325.661906,2.0644756
295541511,1117.01,PC,10.4055,2.2281625,630.0,2459386.963814,2.015
90919952,1118.01,FP,10.5084,4.13812,5560.0,2458660.16316,3.911
261369656,1119.01,APC,10.5024,10.95663,3830.0,2458666.52199,3.588
388104525,112.01,KP,11.6035,2.4997996,14621.2059647,2460069.773646,2.865171
143257766,1120.01,FP,10.4063,1.66226,6030.0,2458656.45082,3.321
24094603,1121.01,FP,11.0605,4.07611,1454.18,2458658.61052,2.062
304774444,1122.01,FP,10.2934,3.6245513,1299.0,2460115.852574,3.042
469782185,1123.01,APC,10.2398,1.20928,11883.8,2458658.04087,1.886
128790976,1124.01,APC,7.2235,3.5187707,5634.0,2460149.391758,2.408
80166433,1125.01,PC,8.0465,0.7724825,211.3168519,2459036.495091,1.3744974
405862830,1126.01,FP,10.3579,1.6268695,1502.0,2460122.432108,3.231
269450900,1127.01,FP,7.3163,2.32439,2704.18,2458657.63073,4.453
425721385,1128.01,FP,9.7298,13.5499,1180.0,2458663.15245,1.795
91576611,1129.01,FP,8.7823,4.43651,1520.0,2458659.06927,3.365
97409519,113.01,KP,12.1893,3.372877,17163.60419,2458327.053085,2.63426
254113311,1130.01,CP,10.1429,8.34998,16680.0,2460144.137122,1.836
254113311,1130.02,CP,10.1429,4.0686405,2650.0950013,2460126.924264,1.8373729
198213332,1131.01,PC,9.2872,0.5860366,410.5241553,2458711.595435,0.8098934
267489265,1132.01,FP,9.2293,1.5502952,411.0,2460351.800169,2.938
69997672,1133.01,FP,9.11458,1.80709,450.0,2458684.2349,3.297
122220263,1134.01,FP,9.03609,18.6922101,11126.0,2460333.437983,7.765
154872375,1135.01,CP,9.02855,8.0277326,5705.0,2460658.97426,4.284
142276270,1136.01,CP,8.9361,12.5187279,2320.0,2459612.447691,5.38
142276270,1136.02,CP,8.9361,6.2586065,813.0,2460366.026514,3.201
142276270,1136.03,CP,8.9361,26.3208756,800.0,2459594.183463,4.414
142276270,1136.04,CP,8.9361,18.795547,470.6731965,2458697.755807,4.3425576
89389197,1137.01,PC,9.00558,1.3206356,1052.4255997,2459770.240602,1.6000996
370133522,1078.01,CP,10.1165,0.5182425,831.8920424,2458654.10332,0.8565249
379240073,1079.01,PC,13.1284,3.1644075,5603.4635466,2458656.380357,2.0576293
289793076,108.01,KP,13.163,3.0440495,22807.0101774,2458328.085025,2.6523472
161032923,1080.01,CP,12.7067,3.9652485,3680.7544436,2458654.060577,1.0112593
253728991,1081.01,PC,11.5247,2.9840866,6014.0780197,2460858.623432,2.9051285
261108236,1082.01,PC,11.8835,16.3469053,2212.4257252,2458626.085696,3.5865698
322270620,1083.01,PC,12.0936,12.9802953,2407.2608671,2458627.915974,2.5034417
380589029,1084.01,KP,12.2851,1.3484961,18463.7636682,2458653.973305,2.4074261
381979901,1085.01,APC,11.6577,3.2541181,13620.0,2460041.175097,4.341
468148930,1086.01,PC,12.2303,3.7178828,4864.8405125,2458655.291499,5.5277827
426077080,1087.01,FP,9.4142,9.30992,2220.0,2458630.77194,3.464
343648136,1088.01,FA,10.4613,1.15395,1550.0,2458626.38955,2.236
129319156,1089.01,FP,10.3918,4.73703,2410.0,2458643.10264,3.902
29344935,109.01,KP,13.2366,2.76676,14947.4387827,2458326.127479,2.6872178
361034196,1090.01,FP,10.0196,2.19296,4933.74,2458628.96316,4.586
193413306,1091.01,PC,9.3529,1.725841,2710.0,2459359.55521,3.674
387079085,1092.01,FP,9.0039,1.1923,3730.0,2458601.38096,3.119
382331352,1093.01,FP,10.0067,11.47606,3050.0,2458601.33791,6.083
136274063,1094.01,APC,9.9806,0.5971314,910.0,2459360.160536,0.468
375223080,1095.01,PC,10.4291,1.4821386,2102.6568299,2459307.385949,2.1867078
375225453,1096.01,FP,10.11,0.9209526,360.8801529,2459307.93577,1.8602735
360630575,1097.01,CP,8.7215,9.188506,460.0,2459376.410518,2.492
360630575,1097.02,CP,8.7215,13.9028391,647.2701039,2459344.461827,2.1264429
383390264,1098.01,CP,8.7581,10.1826983,667.4752458,2458629.909082,2.8275109
290348383,1099.01,CP,7.3661,6.441006,914.0,2460140.220927,1.812
281459670,110.01,KP,11.6714,3.1743504,15457.3247576,2458328.039934,2.751086
318608749,1100.01,FP,10.5135,20.0731588,1152.9645461,2459044.494531,3.8449215
271581073,1101.01,FP,10.5891,2.66903,3110.0,2459058.79277,1.548
311890977,1102.01,FP,10.5652,6.63371,1555.34,2458627.80423,2.122
351603103,1103.01,PC,10.5598,2.94308,4490.0,2459037.655526,4.073
451599528,1104.01,FP,7.5622,341.2791676,8583.5584652,2458702.256022,7.0132492
274151135,1105.01,PC,10.2809,10.8680523,1553.0,2460086.979446,2.375
384513078,1106.01,PC,10.0717,11.1149,900.0,2458630.71937,2.26
394561119,1107.01,CP,10.0068,4.0782392,6046.6959687,2459336.073646,4.8475616
1717732429,1172.01,FP,10.3018,7.8513949,22029.0,2460634.945689,6.835
232967440,1173.01,CP,10.2938,7.0643978,8268.0,2460341.784305,2.424
154089169,1174.01,CP,10.2549,8.9534775,1136.0,2460355.403307,2.696
30329585,1175.01,FP,10.2026,7.5022708,1760.0,2459437.549479,2.605
230088370,1176.01,PC,10.1772,14.0077666,5924.8349672,2458695.361762,5.8727493
169177766,1177.01,FP,10.1617,1.692892,1418.0,2460556.672243,2.886
359496368,1178.01,FP,10.1358,2.6652007,819.0,2460646.783967,3.49
148914726,1179.01,APC,10.1313,1.2615323,2841.0,2460365.036662,1.039
266980320,118.01,CP,9.179,6.0344634,1750.6457632,2460899.883842,2.052901
158002130,1180.01,CP,10.112,9.6867516,1669.0,2460473.411486,2.512
229510866,1181.01,CP,10.079,2.1031647,7142.0,2460556.242383,5.059
341544930,1182.01,FP,10.0049,7.6416041,6025.0,2460386.22206,2.654
258777137,1183.01,FP,9.9478,5.9294088,10226.0,2460654.565628,2.933
233087860,1184.01,CP,9.9469,5.7484439,1041.0,2460558.350441,1.76
83210867,1185.01,FP,9.94025,1.1967018,824.0,2460532.182655,1.879
289539327,1186.01,FP,9.92402,11.2464616,7576.0,2460649.2545,7.391
372757221,1187.01,PC,9.9002,2.5941968,907.0,2460310.089156,0.861
15247229,1188.01,FP,9.886581,8.5112,4172.76,2458687.19253,3.486
112026224,1189.01,PC,9.8744,3.9687994,1760.0,2459441.286476,1.07
278683844,119.01,PC,9.2789,5.5411113,597.3296582,2460987.348604,2.4142561
278683844,119.02,PC,9.2789,10.69173,498.5173154,2460979.593803,3.0528284
287196418,1190.01,APC,9.80529,3.6950015,7655.0,2460553.884666,4.515
237185205,1191.01,FP,9.7831,15.7335693,2540.0,2459441.423236,3.288
158276040,1192.01,APC,10.4999,45.9403293,14807.0,2460524.90576,3.768
89643259,1193.01,FP,10.4813,2.2219839,4394.0,2460337.368138,1.996
147950620,1194.01,CP,10.4782,2.3106428,6911.0,2460367.07216,1.294
