tic_id,y_true,y_prob,y_pred,pl_orbper,pl_trandep,st_tmag
4918918,1,0.4978125810623169,0,0.5734766,818.3903403,10.7818
350153977,1,0.4930211067199707,0,3.1837789,850.2084133,10.6513
219344917,1,0.4875445187091827,0,14.362738,541.9770506,9.7607
391903064,1,0.4785885870456695,0,4.6658007,565.0,8.7843
8260536,1,0.469521141052246,0,10.590923,10290.0,9.58055
124573851,1,0.4539642482995987,0,3.9451359,841.0,10.1755
328934463,1,0.4466024458408356,0,11.2347982,4780.0,10.9687
259172249,1,0.4159131616353989,0,4.2914879,19180.7233775,14.5179
201175570,1,0.4082128882408142,0,9.6994666,512.9617961,10.264
201186294,1,0.4064680814743042,0,0.98933,1519.669587,11.0136
