tic_id,y_true,y_prob,y_pred,pl_orbper,pl_trandep,st_tmag
155995204,0,0.5018301427364349,1,9.30734,42774.4,13.5281
155807906,0,0.5032988548278808,1,0.4057204,2620.0,13.0777
141412823,0,0.5117468059062957,1,21.7004042,406.0,10.4078
103865797,0,0.5130071997642517,1,2.2232698,31700.0,14.2399
327663613,0,0.5145731389522552,1,1.41144,414.379,8.4215
290302097,0,0.515999686717987,1,2.9918201,3410.0,12.7858
310483807,0,0.5178884863853455,1,2.55555,397.9246747,8.3854
261258875,0,0.5219073176383973,1,2.5852,290.0,9.2691
359496368,0,0.5277902066707612,1,2.6652007,819.0,10.1358
155491828,0,0.5298189103603363,1,16.0475029,13630.0,11.1169
